bean type;broad bean origin;year;cacao percentage;company location;company;Number of Records;reference;rating;review year;specific bean origin
;Sao Tome;1-1-2016 00:00:00;1;France;A. Morin;1;1876;3,75;2016;Agua Grande
;Togo;1-1-2015 00:00:00;1;France;A. Morin;1;1676;2,75;2015;Kpime
;Togo;1-1-2015 00:00:00;1;France;A. Morin;1;1676;3;2015;Atsane
;Togo;1-1-2015 00:00:00;1;France;A. Morin;1;1680;3,5;2015;Akata
;Peru;1-1-2015 00:00:00;1;France;A. Morin;1;1704;3,5;2015;Quilla
Criollo;Venezuela;1-1-2014 00:00:00;1;France;A. Morin;1;1315;2,75;2014;Carenero
;Cuba;1-1-2014 00:00:00;1;France;A. Morin;1;1315;3,5;2014;Cuba
Criollo;Venezuela;1-1-2014 00:00:00;1;France;A. Morin;1;1315;3,5;2014;Sur del Lago
Criollo;Venezuela;1-1-2014 00:00:00;1;France;A. Morin;1;1319;3,75;2014;Puerto Cabello
;Peru;1-1-2014 00:00:00;1;France;A. Morin;1;1319;4;2014;Pablino
;Panama;1-1-2013 00:00:00;1;France;A. Morin;1;1011;2,75;2013;Panama
Criollo;Madagascar;1-1-2013 00:00:00;1;France;A. Morin;1;1011;3;2013;Madagascar
;Brazil;1-1-2013 00:00:00;1;France;A. Morin;1;1011;3,25;2013;Brazil
;Ecuador;1-1-2013 00:00:00;1;France;A. Morin;1;1011;3,75;2013;Equateur
;Colombia;1-1-2013 00:00:00;1;France;A. Morin;1;1015;2,75;2013;Colombie
;Burma;1-1-2013 00:00:00;1;France;A. Morin;1;1015;3;2013;Birmanie
;Papua New Guinea;1-1-2013 00:00:00;1;France;A. Morin;1;1015;3,25;2013;Papua New Guinea
Trinitario;Venezuela;1-1-2013 00:00:00;1;France;A. Morin;1;1015;4;2013;Chuao
;Peru;1-1-2013 00:00:00;1;France;A. Morin;1;1019;3,25;2013;Piura
;Peru;1-1-2013 00:00:00;1;France;A. Morin;1;1019;3,5;2013;Chanchamayo Province
;Peru;1-1-2013 00:00:00;1;France;A. Morin;1;1019;4;2013;Chanchamayo Province
;Bolivia;1-1-2012 00:00:00;1;France;A. Morin;1;797;3,5;2012;Bolivia
;Peru;1-1-2012 00:00:00;1;France;A. Morin;1;797;3,75;2012;Peru
;Peru;1-1-2015 00:00:00;1;U.S.A.;Acalli;1;1462;3,75;2015;Chulucanas, El Platanal
Criollo;Peru;1-1-2015 00:00:00;1;U.S.A.;Acalli;1;1470;3,75;2015;Tumbes, Norandino
Trinitario;Fiji;1-1-2011 00:00:00;1;Fiji;Adi;1;705;2,75;2011;Vanua Levu
Trinitario;Fiji;1-1-2011 00:00:00;1;Fiji;Adi;1;705;3,25;2011;Vanua Levu, Toto-A
Trinitario;Fiji;1-1-2011 00:00:00;1;Fiji;Adi;1;705;3,5;2011;Vanua Levu
Trinitario;Fiji;1-1-2011 00:00:00;1;Fiji;Adi;1;705;3,5;2011;Vanua Levu, Ami-Ami-CA
Forastero (Arriba);Ecuador;1-1-2009 00:00:00;1;Ecuador;Aequare (Gianduja);1;370;2,75;2009;Los Rios, Quevedo, Arriba
Forastero (Arriba);Ecuador;1-1-2009 00:00:00;1;Ecuador;Aequare (Gianduja);1;370;3;2009;Los Rios, Quevedo, Arriba
Criollo;Mexico;1-1-2009 00:00:00;1;Mexico;Ah Cacao;1;316;3;2009;Tabasco
Trinitario;Indonesia;1-1-2011 00:00:00;1;Switzerland;Akesson's (Pralus);1;636;3,75;2011;Bali (west), Sukrama Family, Melaya area
Criollo;Madagascar;1-1-2010 00:00:00;1;Switzerland;Akesson's (Pralus);1;502;2,75;2010;Madagascar, Ambolikapiky P.
Forastero;Brazil;1-1-2010 00:00:00;1;Switzerland;Akesson's (Pralus);1;508;2,75;2010;Monte Alegre, D. Badero
Trinitario;Trinidad;1-1-2014 00:00:00;1;France;Alain Ducasse;1;1215;2,75;2014;Trinite
Trinitario;Vietnam;1-1-2014 00:00:00;1;France;Alain Ducasse;1;1215;2,75;2014;Vietnam
Trinitario;Madagascar;1-1-2014 00:00:00;1;France;Alain Ducasse;1;1215;3;2014;Madagascar
Trinitario;Venezuela;1-1-2013 00:00:00;1;France;Alain Ducasse;1;1061;2,5;2013;Chuao
;Peru;1-1-2013 00:00:00;1;France;Alain Ducasse;1;1173;2,5;2013;Piura, Perou
